===== MATCH HISTORY =====
1. [289] P1 hit
2. [290] P1 hit
3. [291] P1 hit
4. [292] P1 hit
5. [293] P1 hit
6. [294] P1 hit
7. [295] P1 hit
8. [296] P1 hit
9. [297] P1 hit
10. [298] P1 hit
11. [299] P1 hit
12. [300] P1 hit
13. [301] P1 hit
14. [302] P1 hit
15. [303] P1 hit
16. [304] P1 hit
17. [305] P1 hit
18. [306] P1 hit
19. [307] P1 hit
20. [308] P1 hit
21. [309] P1 hit
22. [310] P1 hit
23. [311] P1 hit
24. [312] P1 hit
25. [313] P1 hit
26. [314] P1 hit
27. [315] P1 hit
28. [316] P1 hit
29. [317] P1 hit
30. [318] P1 hit
31. [319] P1 hit
32. [320] P1 hit
33. [321] P1 hit
34. [322] P1 hit
35. [323] P1 hit
36. [324] P1 hit
37. [325] P1 hit
========================
Final Score: 15 - 0
Winner: Player 1
========================
